msg_id,app_protocol,src_port,dst_port,message,timestamp
1,TCP,51.105.69.0,172.16.53.27,"8883  >  58562 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",0.007396
2,TCP,172.16.53.27,172.16.176.158,59781  >  8009 [ACK] Seq=1 Ack=1059 Win=251 Len=0,0.007481
3,TCP,172.16.50.210,172.16.53.27,8009  >  58111 [ACK] Seq=1 Ack=111 Win=1181 Len=0,0.210345
4,TCP,172.16.53.27,172.16.50.210,58111  >  8009 [ACK] Seq=111 Ack=111 Win=254 Len=0,0.252306
5,TCP,172.16.176.158,172.16.53.27,8009  >  59781 [ACK] Seq=1173 Ack=111 Win=1236 Len=0,0.324914
6,TCP,172.16.53.27,172.16.176.158,59781  >  8009 [ACK] Seq=111 Ack=2765 Win=255 Len=0,1.27378
7,TCP,172.16.53.27,172.16.170.139,59275  >  8009 [ACK] Seq=111 Ack=111 Win=255 Len=0,1.875744
8,TCP,172.16.53.27,172.16.176.158,59781  >  8009 [ACK] Seq=111 Ack=3294 Win=253 Len=0,3.061373
